"","dispersal","density","environment","speciationRate","fission","id","dispersalGlobal"
"1",2.24236677028239,0.636831599054858,0.991123388987035,2.76821756991558,1,1,FALSE
"2",0,0.0921394417528063,0.302230653585866,4.48325959010981,1,2,TRUE
"3",4.4810167113319,0.792304021771997,0.433759008767083,4.73392523033544,3,3,FALSE
"4",2.31469511799514,0.9423444038257,0.160520911449566,4.11535438743886,2,4,FALSE
"5",1.50280494522303,0.302694621495903,0.823026711354032,3.47063132456969,2,5,FALSE
"6",2.42488572280854,0.563008054392412,0.208090552128851,1.97780857153703,2,6,FALSE
"7",4.72279674466699,0.00354843097738922,0.284965965198353,1.02761128148995,3,7,FALSE
"8",4.50071419496089,0.597468746127561,0.546208890154958,1.62178604723886,2,8,FALSE
"9",4.28086678311229,0.136330611305311,0.589045403990895,3.931503845728,1,9,FALSE
"10",1.08708808291703,0.803776788059622,0.44225317821838,0.613735678605735,2,10,FALSE
"11",3.52494747098535,0.104653178481385,0.871179825160652,3.74338287836872,1,11,FALSE
"12",0,0.422321367543191,0.116137131582946,2.40874973451719,3,12,TRUE
"13",3.86897822376341,0.261993774678558,0.916280787903816,0.973814004682936,1,13,FALSE
"14",0,0.789900857256725,0.105965461116284,4.73712040868122,1,14,TRUE
"15",0,0.347929610637948,0.407957028597593,0.635376124409959,3,15,TRUE
"16",0,0.394019677070901,0.795284648891538,4.17444884998258,1,16,TRUE
"17",2.30969065334648,0.839991263113916,0.054727965965867,2.7716914685443,2,17,FALSE
"18",2.68330829590559,0.757210219278932,0.794298721943051,3.33842310379259,3,18,FALSE
"19",0,0.0773652303032577,0.382710707373917,1.57747470226604,1,19,TRUE
"20",4.48282787203789,0.0713470440823585,0.40116225136444,1.36764220427722,1,20,FALSE
"21",0,0.270596699556336,0.391418411396444,3.41628396650776,2,21,TRUE
"22",0,0.182323472341523,0.0195156494155526,0.63604034204036,3,22,TRUE
"23",4.56906638108194,0.230009140213951,0.487903701607138,2.86895213613752,3,23,FALSE
"24",4.29223970230669,0.390509605407715,0.197976175462827,4.80017514864448,2,24,FALSE
"25",3.90231037139893,0.923508180771023,0.861999339656904,4.81586331268772,2,25,FALSE
"26",2.75932294875383,0.469349069986492,0.574166607577354,2.11988426418975,3,26,FALSE
"27",2.82682734448463,0.0679040302056819,0.157346902880818,4.76781906199176,1,27,FALSE
