SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
7231,0,3,1,3,0.56,670,-0.63,0.03501,0.36,0,0
8178,5,6,1,3,0.66,380,-0.236,0.04301,0.64,0,3
9463,0,1,2,2,0.86,890,-0.254,0.04401,0.25,0,3
9464,0,1,2,2,0.86,890,-0.254,0.04401,0.25,0,0
10387,1,6,2,3,0.71,410,-0.139,0.01001,0.3,0,3
10501,2,5,4,3,0.5,740,-0.288,0.04201,0.42,0,3
10502,2,5,4,3,0.5,740,-0.288,0.04201,0.42,0,0
10542,0,3,3,4,0.79,160,-0.492,0.02201,0.69,1,3
12073,3,5,4,4,0.44,250,-0.61,0.03401,0.3,1,0
12649,5,7,2,1,0.58,230,-0.897,0.01901,0.37,0,3
12653,3,5,3,4,0.61,80,-0.557,0.01601,0.42,1,3
12796,2,4,4,2,0.15,790,-0.598,0.01801,0.34,0,3
12797,2,4,4,2,0.15,790,-0.598,0.01801,0.34,0,0
13204,4,5,4,4,0.46,550,-0.741,0.04101,0.75,0,3
14036,4,7,1,1,0.32,400,-0.272,0.04601,0.84,0,3
14041,1,3,2,3,0.29,570,-0.231,0.03801,0.74,0,3
14601.3,2,6,1,4,0.44,449.8,-0.28132,0.006515,0.61,0,2
14660.1,5,7,4,3,0.8,241,-0.027,0.042585,0.22,1,2
14836.7,3,6,4,2,0.95,112.5,-1.17894,0.003645,0.25,1,2
15163.7,4,6,3,2,0.87,83.7,-0.1586,0.05,0.255,0,2
15242.4,3,7,4,4,0.9,125.1,-0.61754,0.005755,0.32,1,2
15448,1,2,1,2,0.37,160,-0.878,0.03401,0.59,1,3
15484,1,2,1,3,0.7,260,-0.56,0.01501,0.47,0,3
15526.9,2,3,2,3,0.89,243.1,-0.76755,0.009395,0.205,0,2
15748,2,3,4,4,0.04,80,-0.574,0.02601,0.52,0,3
16160,0,6,2,3,0.55,40,-0.955,0.04501,0.27,1,3
16161,0,6,2,3,0.55,40,-0.955,0.04501,0.27,1,0
16351.8,4,5,1,4,0.88,104.8,-0.1716,0.05,0.285,0,2
16358.8,5,5,4,4,0.7,88.8,-0.2574,0.027825,0.375,1,2
16431.5,2,3,4,3,0.32,127.7,-1.01052,0.002895,0.29,1,2
16537.3,4,7,1,3,0.21,158.8,-1.02942,0.006435,0.385,0,2
16695,1,2,1,2,0.43,410,-0.123,0.04101,0.61,0,3
