SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
15445.4,0,4,1,3,0.98,33.9,-0.4927,0.05,0.27,0,2
15550.6,4,4,3,4,0.69,15.8,-0.24256,0.05,0.63,0,2
15609.8,5,7,3,1,0.34,72.2,-0.32193,0.038045,0.275,1,2
15689.7,2,3,3,1,0.6,39.7,-0.37142,0.037965,0.68,0,2
15826,1,6,3,3,0.26,150,-0.575,0.03301,0.6,1,3
15981,0,5,1,4,0.36,10,-0.061,0.04101,0.52,0,3
15997.8,2,3,2,3,0.58,34.6,-0.39037,0.045665,0.56,1,2
16016.8,0,5,4,4,0.19,29.3,-0.47375,0.05,0.56,0,2
16085.4,3,6,2,4,0.97,679.7,-0.2548,0.05,0.21,0,2
16094.6,7,7,2,2,0.64,38.8,-0.55334,0.027835,0.43,1,2
16265.9,4,3,4,1,0.62,41.4,-0.43964,0.05,0.5,0,2
16702.6,2,4,2,2,0.6,530.1,-0.27264,0.016755,0.315,1,2
17029,0,3,1,3,0.6,290,-0.731,0.04501,0.3,0,3
17030,0,3,1,3,0.6,290,-0.731,0.04501,0.3,0,0
17433,5,6,1,1,0.01,550,-0.05,0.03301,0.5,0,3
17629,5,5,4,2,0.04,310,-0.449,0.02701,0.4,1,3
17630,5,5,4,2,0.04,310,-0.449,0.02701,0.4,1,0
18382,2,3,2,2,0.56,450,-0.294,0.04001,0.34,0,3
18383,2,3,2,2,0.56,450,-0.294,0.04001,0.34,0,0
18953,7,7,2,1,0.07,830,-0.789,0.04701,0.54,1,3
19227,2,7,1,2,0.37,740,-0.279,0.03401,0.28,1,0
19316,3,2,2,2,0.23,940,-0.162,0.02301,0.39,1,3
19957,1,6,4,3,0.81,340,-0.061,0.03301,0.36,0,3
20593,4,7,1,2,0.57,550,-0.886,0.02901,0.26,1,0
20735,4,6,1,3,0.71,850,-0.212,0.03701,0.38,0,3
20736,4,6,1,3,0.71,850,-0.212,0.03701,0.38,0,0
20747,2,5,1,4,0.6,500,-0.888,0.02601,0.52,0,3
20876,4,3,4,4,0.18,580,-0.383,0.03601,0.45,0,3
21862,3,5,1,4,0.17,790,-0.081,0.02401,0.41,1,3
21932,7,6,1,4,0.63,980,-0.631,0.01701,0.37,0,3
21988,4,6,1,4,0.81,120,-0.187,0.03101,0.41,0,3
22144,5,7,2,2,0.53,690,-0.467,0.04301,0.42,1,0
23473,2,4,2,1,0.51,850,-0.708,0.04701,0.38,0,3
23767,5,6,3,1,0.19,230,-0.1,0.04201,0.5,1,3
25754,5,7,3,4,0.8,600,-0.584,0.03901,0.53,1,3
25755,5,7,3,4,0.8,600,-0.584,0.03901,0.53,1,0
25983,2,7,1,3,0.84,30,-0.379,0.04701,0.48,1,3
26593,6,6,4,2,0.37,840,-0.756,0.01301,0.48,1,3
27441,3,7,4,2,0.27,490,-0.744,0.04401,0.29,1,3
27442,3,7,4,2,0.27,490,-0.744,0.04401,0.29,1,0
27748,3,4,4,3,0.11,150,-0.599,0.01301,0.36,1,3
27779,1,7,2,3,0.75,450,-0.192,0.01201,0.33,0,3
28147,1,6,4,2,0.48,960,-0.28,0.03701,0.32,1,3
28148,1,6,4,2,0.48,960,-0.28,0.03701,0.32,1,0
28585,1,3,2,1,0.69,800,-0.888,0.04201,0.58,1,3
29577,2,7,4,3,0.02,20,-0.833,0.01901,0.36,1,3
