SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
8061,4,5,4,2,0.37,580,-0.131,0.04401,0.37,0,3
8062,4,5,4,2,0.37,580,-0.131,0.04401,0.37,0,0
8083,6,7,2,3,0.28,700,-0.834,0.02601,0.28,0,3
8084,6,7,2,3,0.28,700,-0.834,0.02601,0.28,0,0
8764,6,6,2,1,0.14,710,-0.107,0.03901,0.41,0,3
9247,5,5,2,2,0.67,150,-0.973,0.03301,0.38,0,3
10034.7,7,7,4,2,0.31,26.7,-0.3456,0.022795,0.3,0,2
11489,3,3,3,2,0.84,250,-0.758,0.02801,0.35,0,3
12297,1,7,4,2,0.39,560,-0.819,0.02901,0.35,0,3
12574.8,1,7,1,1,0.59,599.5,-0.11592,0.011635,0.185,0,2
13057.2,1,5,2,4,0.15,216.4,-1.34945,0.025305,0.195,0,2
13424.2,3,5,2,1,0.78,625.8,-1.01472,0.025435,0.15,1,2
13445.2,1,5,1,4,0.55,638.4,-0.13662,0.011405,0.305,1,2
13537,0,7,4,1,0.59,130,-0.038,0.01801,0.56,0,3
13681,1,3,3,2,0.53,30,-0.06,0.03701,0.48,0,3
13922.1,0,7,2,3,0.35,423,-0.79728,0.035875,0.41,0,2
14108.9,1,3,4,4,0.19,168.5,-0.98049,0.05,0.145,0,2
14154.5,3,4,2,4,0.58,333.9,-0.65995,0.05,0.405,1,2
15117,1,2,1,2,0.6,180,-0.49,0.04601,0.61,1,3
15211.3,5,6,2,2,0.68,35.6,-0.75992,0.05,0.33,0,2
15447.5,2,3,2,1,0.51,28.7,-0.8033,0.009345,0.18,0,2
15447.7,4,6,3,2,0.17,682.4,-1.27746,0.032005,0.16,1,2
15895,6,7,4,2,0.52,50,-0.34,0.03301,0.55,1,3
15940,1,7,2,1,0.29,430,-0.155,0.02901,0.31,0,3
15941,1,7,2,1,0.29,430,-0.155,0.02901,0.31,0,0
16070.1,6,7,1,2,0.13,98.7,-0.33668,0.05,0.44,0,2
16128.5,0,5,1,2,0.32,41.1,-0.59832,0.008305,0.25,1,2
