"","spp.name","region"
"1",17365,10
"2",17991,10
"3",17991,9
"4",18206,10
"5",18480,10
"6",18547,10
"7",19045,10
"8",19070,7
"9",19108,9
"10",19269,8
"11",19269,9
"12",19355,10
"13",19379,10
"14",19716,9
"15",19716,10
"16",19888,9
"17",19888,8
"18",19947,8
"19",19947,9
"20",20204,9
"21",20465,6
"22",20707,10
"23",20746,9
"24",20746,8
"25",20827,7
"26",20827,6
"27",20850,4
"28",20850,3
"29",20895,7
"30",20895,8
"31",21039,8
"32",21039,9
"33",21067,10
"34",21076,7
"35",21102,10
"36",21109,9
"37",21109,10
"38",21114,10
"39",21122,9
"40",21122,8
"41",21130,10
"42",21139,9
"43",21168,10
"44",21168,9
"45",21273,8
"46",21390,9
"47",21591,7
"48",21591,6
"49",21649,6
"50",21665,10
"51",21683,9
"52",21683,8
"53",21688,9
"54",21729,7
"55",21748,10
"56",21757,10
"57",21796,9
"58",21796,8
"59",21824,10
"60",21856,10
"61",21858,10
"62",21867,7
"63",21878,8
"64",21878,9
"65",21897,7
"66",21897,8
"67",22071,7
"68",22084,7
"69",22084,8
"70",22097,8
"71",22097,9
"72",22142,8
"73",22154,10
"74",22200,9
"75",22200,10
"76",22223,10
"77",22264,10
"78",22264,9
"79",22265,10
"80",22283,10
"81",22284,10
"82",22285,6
"83",22285,7
"84",22322,9
"85",22322,8
"86",22334,10
"87",22334,9
"88",22346,8
"89",22346,9
"90",22359,10
"91",22361,10
"92",22376,9
"93",22376,8
"94",22384,8
"95",22384,9
"96",22385,9
"97",22385,10
"98",22406,9
"99",22420,4
"100",22420,3
"101",22421,10
"102",22428,10
"103",22455,5
"104",22534,9
"105",22534,8
"106",22562,7
"107",22562,6
"108",22564,10
"109",22595,9
"110",22601,8
"111",22603,10
"112",22668,10
"113",22669,10
"114",22703,10
"115",22706,7
"116",22725,10
"117",22727,10
"118",22729,9
"119",22729,8
"120",22737,9
"121",22749,8
"122",22752,10
"123",22785,8
"124",22785,7
"125",22788,4
"126",22788,3
"127",22794,8
"128",22794,9
"129",22796,10
"130",22801,8
"131",22801,7
"132",22813,10
"133",22815,6
"134",22815,5
"135",22820,7
"136",22820,6
"137",22834,6
"138",22834,7
"139",22864,10
"140",22869,10
"141",22877,9
"142",22877,8
"143",22881,5
"144",22881,6
"145",22881,4
"146",22897,10
"147",22897,9
"148",22902,10
"149",22911,5
"150",22911,6
"151",22912,10
"152",22912,9
"153",22916,8
"154",22921,8
"155",22921,9
"156",22922,9
"157",22973,8
"158",22973,9
"159",22978,6
"160",22978,5
"161",22982,8
"162",22983,10
"163",22987,10
"164",22989,9
"165",22989,10
"166",23006,1
"167",23006,2
"168",23015,9
"169",23015,8
"170",23022,5
"171",23022,4
"172",23076,10
"173",23076,9
"174",23081,7
"175",23089,3
"176",23092,6
"177",23102,6
"178",23102,5
"179",23105,7
"180",23105,6
"181",23112,10
"182",23119,5
"183",23119,6
"184",23132,10
"185",23145,10
"186",23151,6
"187",23157,10
"188",23159,10
"189",23173,10
"190",23191,6
"191",23193,10
"192",23205,8
"193",23230,6
"194",23230,5
"195",23233,9
"196",23241,9
"197",23241,8
"198",23246,10
"199",23246,9
"200",23261,3
"201",23261,2
"202",23274,7
"203",23274,8
"204",23279,9
"205",23279,8
"206",23296,3
"207",23315,8
"208",23315,7
"209",23333,8
"210",23382,10
"211",23401,10
"212",23404,6
"213",23420,5
"214",23420,6
"215",23426,8
"216",23426,7
"217",23427,9
"218",23427,8
"219",23449,5
"220",23455,8
"221",23455,9
"222",23461,8
"223",23487,10
"224",23495,7
"225",23495,8
"226",23501,9
"227",23501,8
"228",23509,10
"229",23517,7
"230",23517,6
"231",23527,4
"232",23528,10
"233",23543,7
"234",23543,6
"235",23552,10
"236",23554,8
"237",23554,7
"238",23558,6
"239",23558,7
"240",23562,10
"241",23575,6
"242",23575,7
"243",23588,4
"244",23588,5
"245",23589,6
"246",23610,7
"247",23613,7
"248",23622,5
"249",23622,4
"250",23629,10
"251",23632,9
"252",23638,10
"253",23656,8
"254",23656,7
"255",23658,5
"256",23678,10
"257",23705,9
"258",23705,8
"259",23720,9
"260",23720,10
"261",23723,5
"262",23723,4
"263",23729,9
"264",23729,8
"265",23743,7
"266",23757,5
"267",23758,10
"268",23758,9
"269",23759,10
"270",23762,4
"271",23762,3
"272",23763,8
"273",23787,10
"274",23787,9
"275",23792,7
"276",23796,6
"277",23798,8
"278",23799,4
"279",23801,9
"280",23803,3
"281",23803,4
"282",23806,10
"283",23808,4
"284",23808,5
"285",23810,10
"286",23811,7
"287",23811,6
"288",23815,8
"289",23820,4
"290",23820,3
"291",23822,9
"292",23822,8
"293",23826,6
"294",23842,10
"295",23842,9
"296",23843,9
"297",23849,5
"298",23849,6
"299",23859,6
"300",23859,7
"301",23868,10
"302",23871,9
"303",23872,4
"304",23872,5
"305",23874,8
"306",23882,5
"307",23882,4
"308",23888,10
"309",23892,2
"310",23892,1
"311",23895,3
"312",23897,9
"313",23900,7
"314",23900,8
"315",23905,9
"316",23920,7
"317",23920,6
"318",23924,8
"319",23932,5
"320",23932,4
"321",23936,6
"322",23936,5
"323",23949,9
"324",23950,8
"325",23950,7
"326",23954,10
"327",23954,9
"328",23960,10
"329",23963,3
"330",23963,2
"331",23967,10
"332",23968,6
"333",23968,7
"334",23971,5
"335",23974,10
"336",23974,9
"337",23978,9
"338",23978,8
"339",23985,10
"340",23985,9
"341",23994,6
"342",23994,5
"343",23995,9
"344",23996,10
"345",24000,6
"346",24000,7
"347",24005,10
"348",24007,8
"349",24007,7
"350",24009,6
"351",24010,7
"352",24030,6
"353",24030,5
"354",24031,8
"355",24031,9
"356",24037,10
"357",24040,8
"358",24040,9
"359",24041,9
"360",24041,8
"361",24048,10
"362",24048,9
"363",24051,10
"364",24060,8
"365",24060,9
"366",24068,6
"367",24068,5
"368",24069,9
"369",24069,10
"370",24070,2
"371",24072,8
"372",24072,9
"373",24074,10
"374",24076,7
"375",24087,6
"376",24087,5
"377",24087,4
"378",24088,8
"379",24106,3
"380",24106,2
"381",24111,5
"382",24111,4
"383",24112,6
"384",24112,7
"385",24119,8
"386",24119,9
"387",24125,7
"388",24137,7
"389",24137,6
"390",24139,4
"391",24139,5
"392",24150,10
"393",24155,7
"394",24155,6
"395",24159,8
"396",24159,9
"397",24165,6
"398",24165,7
"399",24170,7
"400",24171,4
"401",24171,5
"402",24172,7
"403",24172,6
"404",24175,9
"405",24175,8
"406",24184,10
"407",24184,9
"408",24188,8
"409",24192,7
"410",24192,8
"411",24199,7
"412",24199,6
"413",24202,8
"414",24202,7
"415",24205,4
"416",24205,3
"417",24211,1
"418",24217,10
"419",24245,10
"420",24247,6
"421",24247,7
"422",24248,10
"423",24251,5
"424",24251,6
"425",24254,10
"426",24259,6
"427",24259,5
"428",24261,10
"429",24264,5
"430",24270,7
"431",24273,10
"432",24274,8
"433",24277,10
"434",24277,9
"435",24293,9
"436",24293,10
"437",24296,7
"438",24296,6
"439",24297,10
"440",24300,6
"441",24300,5
"442",24301,5
"443",24307,5
"444",24307,4
"445",24311,1
"446",24313,5
"447",24313,4
"448",24321,4
"449",24321,3
"450",24326,8
"451",24326,9
"452",24328,7
"453",24331,10
"454",24331,9
"455",24334,8
"456",24334,7
"457",24342,10
"458",24343,9
"459",24345,6
"460",24345,5
"461",24352,9
"462",24354,6
"463",24354,7
"464",24358,7
"465",24358,6
"466",24362,8
"467",24362,9
"468",24368,4
"469",24368,5
"470",24370,7
"471",24370,6
"472",24377,8
"473",24380,9
"474",24385,8
"475",24387,10
"476",24393,10
"477",24394,4
"478",24394,3
"479",24398,3
"480",24401,6
"481",24408,3
"482",24408,4
"483",24409,7
"484",24412,9
"485",24412,8
"486",24415,9
"487",24415,10
"488",24417,10
"489",24419,9
"490",24419,8
"491",24430,10
"492",24431,10
"493",24435,10
"494",24438,5
"495",24447,10
"496",24447,9
"497",24456,5
"498",24459,6
"499",24459,7
"500",24464,7
"501",24466,7
"502",24466,6
"503",24470,3
"504",24470,2
"505",24470,4
"506",24477,10
"507",24480,7
"508",24483,9
"509",24483,7
"510",24483,8
"511",24484,4
"512",24484,5
"513",24487,10
"514",24488,1
"515",24488,2
"516",24496,4
"517",24496,5
"518",24510,5
"519",24510,6
"520",24512,8
"521",24512,7
"522",24513,9
"523",24517,8
"524",24518,10
"525",24519,5
"526",24521,4
"527",24522,3
"528",24522,5
"529",24522,4
"530",24528,10
"531",24529,1
"532",24529,3
"533",24529,2
"534",24531,7
"535",24531,8
"536",24541,10
"537",24541,9
"538",24543,4
"539",24549,10
"540",24553,2
"541",24553,1
"542",24559,7
"543",24559,6
"544",24574,8
"545",24574,7
"546",24579,6
"547",24579,7
"548",24581,8
"549",24581,7
"550",24584,6
"551",24590,10
"552",24590,9
"553",24593,10
"554",24593,9
"555",24596,10
"556",24600,10
"557",24602,9
"558",24604,8
"559",24604,7
"560",24606,8
"561",24608,6
"562",24608,7
"563",24614,7
"564",24618,9
"565",24618,8
"566",24622,9
"567",24629,5
"568",24629,4
"569",24631,8
"570",24631,9
"571",24633,4
"572",24634,7
"573",24634,8
"574",24636,3
"575",24636,2
"576",24638,10
"577",24638,9
"578",24643,6
"579",24644,10
"580",24645,7
"581",24646,9
"582",24647,10
"583",24648,9
"584",24650,5
"585",24651,9
"586",24651,8
"587",24657,1
"588",24658,9
"589",24658,10
"590",24660,2
"591",24660,1
"592",24663,3
"593",24663,4
"594",24666,7
"595",24673,7
"596",24673,6
"597",24674,3
"598",24675,9
"599",24679,3
"600",24681,6
"601",24681,7
"602",24682,5
"603",24682,6
"604",24689,8
"605",24691,9
"606",24691,10
"607",24694,5
"608",24694,4
