SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
10096.4,1,6,4,3,0.96,35,-0.452014,0.0216725,0.4,0,2
10320,5,6,2,3,0.3,630,-0.992,0.03801,0.38,1,3
10321,5,6,2,3,0.3,630,-0.992,0.03801,0.38,1,0
10441.4,2,3,4,4,0.64,28,-0.470277,0.0348725,0.35,0,2
10483,7,7,2,2,0.86,590,-0.852,0.03801,0.39,0,3
10715.7,0,4,1,4,0.54,19.7,-0.328738,0.0205425,0.33,0,2
10890.3,4,5,1,3,0.62,78.5,-0.9558,0.015445,0.645,1,2
10930.2,2,2,1,4,1,42.5,-0.529633,0.0463825,0.36,0,2
11014.1,2,4,2,3,0.69,31.5,-0.534199,0.0435325,0.23,1,2
11105.1,2,3,3,4,0.64,36,-0.639212,0.0242025,0.26,0,2
11425.1,0,7,3,4,0.73,99.2,-0.9882,0.017245,0.505,1,2
11502.4,0,5,4,4,0.17,70.3,-0.8262,0.030455,0.695,0,2
11812.9,0,2,3,3,0.74,92.1,-1.0773,0.020965,0.495,0,2
12640,5,7,1,3,0.35,82.5,-1.0935,0.028935,0.655,0,2
13778.2,5,7,3,3,0.82,42.6,-0.88848,0.015215,0.48,1,2
14584,3,7,4,1,0.99,690,-0.872,0.03801,0.42,1,0
14678.3,4,7,4,4,0.23,85.9,-0.38142,0.047855,0.195,1,2
15052,0,5,4,3,0.31,190,-0.992,0.03301,0.4,1,3
15119.8,1,7,1,4,0.7,57.7,-0.57998,0.016635,0.43,1,2
15199.5,4,7,2,4,0.6,59.7,-0.40105,0.020835,0.26,1,2
15523.9,1,4,1,3,0.14,73.6,-0.48126,0.022615,0.36,0,2
15566.8,3,7,3,1,0.46,61.3,-0.59232,0.038005,0.52,0,2
15686.5,5,5,3,3,0.14,73.1,-0.73423,0.033535,0.53,1,2
15701.6,0,7,1,4,0.94,30,-0.45658,0.031365,0.3,0,2
15836.3,1,4,4,4,0.07,31.6,-0.65402,0.031755,0.24,0,2
16162,5,5,1,3,0.27,570,-0.55,0.04701,0.46,1,3
16332,1,7,1,1,0.13,300,-0.912,0.02201,0.4,1,3
16509.5,2,4,1,4,0.77,61.3,-0.69104,0.026045,0.22,0,2
18887,0,1,4,3,0.68,540,-0.625,0.01501,0.36,0,3
19012,0,6,4,4,0.42,80,-0.81,0.02301,0.47,0,3
21012,0,7,4,3,0.58,290,-0.822,0.02101,0.54,0,3
23570,6,7,2,4,0.62,140,-0.489,0.03901,0.35,1,3
23571,6,7,2,4,0.62,140,-0.489,0.03901,0.35,1,0
26677,1,2,2,2,0.23,50,-0.617,0.02801,0.38,0,3
26678,1,2,2,2,0.23,50,-0.617,0.02801,0.38,0,0
