SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
5303,2,7,4,2,0.99,100,-0.338,0.01501,0.45,0,3
5642,1,5,2,2,0.9,434,-1.30696,0.023955,0.275,0,2
5764,2,5,2,4,0.49,720,-0.408,0.02401,0.37,0,0
6915.15,4,7,1,1,0.54,263.95,-0.0510979,0.0314738,0.33375,1,1
8407,4,3,4,2,0.18,220,-0.273,0.04601,0.44,0,0
8513,0,4,4,4,0.63,430,-0.713,0.00801,0.44,0,3
8553.5,1,4,1,4,0.85,195.5,-0.050592,0.0209875,0.3275,0,2
8721.6,0,2,3,2,0.07,208.4,-0.98802,0.040285,0.43,0,1
8804.2,2,6,2,4,0.34,190.4,-0.047328,0.0329075,0.3775,0,2
9060,0,5,1,3,0.62,580,-0.893,0.03901,0.39,1,3
9061,0,5,1,3,0.62,580,-0.893,0.03901,0.39,1,0
9105.3,2,6,1,3,0.47,279.8,-0.82931,0.041065,0.78,0,2
9301.6,5,7,3,4,0.2,114.8,-0.025704,0.0288375,0.4575,0,2
9909,4,6,2,1,0.81,330,-0.571,0.02001,0.52,1,3
10244,1,5,3,3,0.91,120,-0.505,0.02301,0.36,1,0
10345,4,6,1,4,0.71,410,-0.694,0.02101,0.58,1,3
10523.6,2,3,2,4,0.09,162.3,-0.037128,0.0309275,0.3975,0,2
10930,2,3,3,4,0.87,540,-0.961,0.04601,0.51,0,3
11762.4,2,5,2,4,0.56,68.9,-0.11505,0.041785,0.83,1,2
11772,4,5,3,3,0.72,550,-0.711,0.01901,0.49,1,3
12677,0,3,4,3,0.2,810,-0.835,0.02901,0.37,1,0
13079,7,7,2,2,0.75,790,-0.863,0.02901,0.38,0,3
13128,5,6,2,2,0.65,560,-0.623,0.00901,0.39,0,3
13583,3,6,3,4,0.15,270,-0.644,0.01101,0.46,1,3
13738,5,7,3,3,0.55,340,-0.998,0.04701,0.44,0,3
13827,2,3,1,3,0.4,150,-0.949,0.01501,0.45,1,3
13876,0,6,1,4,0.19,30,-0.841,0.04201,0.68,1,3
14596,3,7,1,4,0.23,550,-0.254,0.02401,0.42,0,3
14639,0,7,1,2,0.43,540,-0.28,0.01401,0.39,0,3
15620.2,2,5,4,2,0.5,167.8,-0.0356,0.025505,0.435,0,2
15682,2,6,1,3,0.69,160,-0.235,0.02701,0.5,1,3
15806,2,7,2,3,1,140.4,-0.0408,0.025155,0.315,0,2
16187.6,2,7,3,3,0.2,183.2,-0.0256,0.023255,0.515,0,2
16200.9,1,3,1,3,0.12,122.3,-0.0204,0.05,0.345,0,2
16306,4,4,2,2,0.88,650,-0.319,0.00601,0.39,0,3
16538,3,4,2,4,0.54,110.8,-0.052,0.05,0.375,0,2
16562.2,4,6,1,3,0.65,91.3,-0.0288,0.043365,0.285,1,2
16915,2,4,3,2,0.99,550,-0.681,0.04701,0.35,1,0
17215,0,3,1,2,0.43,70,-0.195,0.04901,0.82,1,3
17429,3,7,1,3,0.07,10,-0.663,0.04201,0.53,1,3
17458,4,5,4,4,0.98,190,-0.653,0.03801,0.62,0,3
18041.6,3,4,1,1,0.77,79.1,-0.5208,0.031555,0.52,1,2
18729,4,4,4,3,0.98,670,-0.893,0.02701,0.49,0,3
18734.5,1,7,4,1,0.77,129,-0.0304,0.032005,0.245,1,2
20157,3,3,3,1,0.06,440,-0.347,0.02001,0.46,1,3
20225,2,2,4,4,0.91,190,-0.007,0.02401,0.48,1,3
20271,4,5,3,1,0.7,670,-0.61,0.03501,0.56,0,3
20607,4,5,4,1,0.27,520,-0.295,0.02001,0.63,0,3
21730,5,6,2,2,0.58,70,-0.874,0.00701,0.36,1,3
21734,2,7,4,4,0.77,980,-0.771,0.04901,0.81,1,3
22276,1,6,2,2,0.11,110,-0.184,0.04001,0.63,0,3
22360,2,6,4,4,0.14,680,-0.011,0.04401,0.59,0,3
22361,2,6,4,4,0.14,680,-0.011,0.04401,0.59,0,0
24678,5,7,2,3,0.1,630,-0.228,0.02101,0.47,1,3
24679,5,7,2,3,0.1,630,-0.228,0.02101,0.47,1,0
25858,1,4,4,3,1,10,-0.727,0.03801,0.47,0,3
27394,0,7,1,4,0.14,570,-0.792,0.02601,0.44,0,3
27749,1,2,1,1,0.53,570,-0.619,0.02101,0.49,1,3
27750,1,2,1,1,0.53,570,-0.619,0.02101,0.49,1,0
29012,5,6,2,4,0.66,960,-0.985,0.02101,0.53,0,3
29426,3,6,3,3,0.04,350,-0.543,0.04801,0.53,1,3
30886,3,5,1,1,0.44,300,-0.52,0.03901,0.38,1,0
