SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
6573,0,6,2,3,0.92,780,-0.982,0.03501,0.47,0,3
7438,3,5,3,3,0.6,980,-0.619,0.04701,0.38,0,3
7810,0,5,3,4,0.92,150,-0.926,0.03301,0.89,0,3
8617.2,1,5,3,1,0.88,46.8,-0.75834,0.039225,0.38,0,2
8960,0,7,4,4,0.25,59.6,-1.12602,0.027975,0.23,0,2
9296.4,0,2,3,3,0.43,27.55,-0.304854,0.0227625,0.4575,1,2
9459.3,4,7,3,4,0.6,18.45,-0.140135,0.05,0.8775,0,2
9512.2,0,5,3,2,0.9,39.25,-0.169637,0.0464125,0.3975,1,2
9753.8,3,6,4,4,0.74,26.4,-0.67408,0.042225,0.36,0,2
9836.7,3,6,2,3,0.52,40.2,-0.94218,0.030705,0.35,0,2
11132.4,3,7,1,3,0.51,24.6,-0.6424,0.026005,0.295,0,2
11422.6,5,7,2,3,0.95,534.8,-0.14381,0.025635,0.64,0,2
11892.2,4,5,2,1,0.28,213.6,-0.1668,0.05,0.635,0,2
12245.3,3,7,3,3,0.24,186.4,-0.0924,0.031695,0.425,1,2
12348.6,4,7,3,1,0.15,249.9,-0.1068,0.05,0.325,0,2
12478.9,1,4,2,2,0.34,173.4,-0.1488,0.049715,0.555,1,2
12854.7,0,4,3,2,0.59,325.6,-0.0936,0.032925,0.695,0,2
12897,0,7,4,4,0.46,220,-0.147,0.03901,0.46,0,3
12967.2,0,2,4,4,0.85,343.2,-1.22682,0.042955,0.535,1,2
13359,3,6,1,3,0.14,910,-0.132,0.04401,0.53,1,3
13720,0,4,1,3,0.75,40,-0.766,0.03101,0.38,1,3
13934,5,7,4,2,0.66,400,-0.565,0.03601,0.41,0,3
14112,5,6,4,4,0.85,920,-0.987,0.01601,0.37,0,3
14117.1,5,7,3,4,0.67,124.2,-0.1548,0.033225,0.375,1,2
14418,2,6,1,1,0.91,290,-0.559,0.04101,0.42,0,3
15028.4,1,6,3,3,0.62,315,-0.64612,0.039065,0.31,1,2
15139.2,1,3,3,4,0.25,41.5,-0.39336,0.039575,0.555,1,2
15561.7,0,2,2,4,0.55,365.6,-0.2785,0.035665,0.43,0,2
15742,2,4,3,4,0.94,280,-0.798,0.02401,0.42,0,3
15794,7,6,1,4,0.48,690,-0.727,0.02601,0.38,0,3
15910,4,4,3,4,0.38,615.6,-0.1833,0.034145,0.445,0,2
16225.9,5,6,4,4,0.1,31.1,-0.48276,0.047105,0.405,0,2
16314.3,2,7,2,3,0.22,871.5,-0.141,0.05,0.465,1,2
16454.3,2,5,4,3,0.02,41.8,-0.2682,0.044965,0.535,0,2
16600,3,5,4,1,0.49,570,-0.752,0.04601,0.51,1,3
16639.3,3,5,1,4,0.83,337.7,-0.1927,0.031825,0.445,0,2
16742.9,3,6,2,2,0.95,302.6,-0.3102,0.025495,0.525,1,2
16803.6,1,3,2,4,0.15,433.7,-0.30785,0.030775,0.555,0,2
17080.9,7,7,2,4,0.65,812.7,-0.1833,0.038325,0.385,0,2
17211.2,1,7,3,4,0.16,399.8,-0.20445,0.036455,0.275,0,2
17230,2,7,2,2,0.8,20,-0.76,0.03301,0.5,0,3
17345,6,5,2,1,0.94,550,-0.343,0.04601,0.57,0,3
17699.6,2,6,1,3,0.73,28.9,-0.24585,0.040265,0.635,0,2
17971,1,2,3,2,0.14,60,-0.779,0.01601,0.44,0,0
18011.1,6,6,1,1,0.1,225.5,-0.64612,0.040975,0.67,0,2
18085.8,4,4,3,4,0.34,21,-0.57663,0.05,0.605,1,2
18704,3,6,3,1,0.44,40,-0.803,0.02901,0.37,1,3
18705,3,6,3,1,0.44,40,-0.803,0.02901,0.37,1,0
18871,3,5,4,4,0.28,890,-0.532,0.01701,0.44,0,3
20404,3,5,4,3,0.64,190,-0.122,0.01901,0.58,1,3
21373,1,4,1,1,0.36,890,-0.611,0.04501,0.63,0,3
21549,4,5,1,4,0.55,440,-0.248,0.03001,0.36,1,0
22853,1,4,1,4,0.69,230,-0.12,0.04001,0.55,0,3
22903,1,6,3,3,0.54,280,-0.852,0.04801,0.5,1,3
23201,1,3,4,3,0.99,340,-0.966,0.03101,0.45,1,3
27834,3,5,2,1,0.98,520,-0.308,0.02401,0.47,0,3
28665,0,5,3,4,0.05,980,-0.064,0.01701,0.39,1,3
28666,0,5,3,4,0.05,980,-0.064,0.01701,0.39,1,0
29975,4,3,1,4,0.56,40,-0.447,0.04101,0.43,0,3
30013,4,5,4,4,0.88,340,-0.557,0.04401,0.5,0,3
30271,0,4,1,3,0.96,580,-0.671,0.01001,0.51,1,3
30310,2,7,4,2,0.95,590,-0.235,0.04301,0.39,0,3
30311,2,7,4,2,0.95,590,-0.235,0.04301,0.39,0,0
