SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
8102.05,1,6,3,2,0.94,23.85,-0.739195,0.0160625,0.6925,0,2
10244,1,3,1,4,0.33,10,-0.772,0.03001,0.67,0,3
10532,0,2,4,3,0.43,850,-0.91,0.02901,0.38,1,0
10902,3,5,1,2,0.88,360,-0.841,0.04601,0.36,0,3
10903,3,5,1,2,0.88,360,-0.841,0.04601,0.36,0,0
11106.6,2,4,1,1,0.6,27.7,-0.46995,0.029295,0.405,0,2
11215.9,1,7,2,3,0.96,30.1,-1.04112,0.014325,0.525,0,2
11338,1,6,3,4,0.32,210,-0.032,0.02501,0.52,0,3
11451,2,6,2,1,0.69,620,-0.869,0.03501,0.44,0,3
11517.4,0,6,1,2,0.49,110.4,-0.16709,0.021345,0.36,0,2
11558.8,0,4,3,4,0.21,34.9,-0.47718,0.020995,0.615,0,2
11736.2,1,5,3,4,0.41,93.4,-0.7081,0.05,0.515,0,2
12349,1,7,2,3,0.97,130,-0.494,0.03001,0.61,1,3
12491,3,4,1,3,0.3,720,-0.293,0.03601,0.38,0,3
12492,3,4,1,3,0.3,720,-0.293,0.03601,0.38,0,0
12497.1,1,3,1,3,0.23,136.5,-0.85042,0.035355,0.5,0,2
12503.9,3,7,1,3,0.07,33.3,-0.74469,0.030335,0.645,1,2
12831.3,1,6,1,1,0.46,158.1,-0.56232,0.049485,0.46,1,2
13191,0,7,4,1,0.85,110,-0.735,0.02101,0.44,0,3
13212.9,3,5,1,1,0.52,192.9,-0.3298,0.048955,0.355,0,2
13408,1,5,4,2,0.5,70,-0.311,0.03501,0.43,1,3
13409,1,5,4,2,0.5,70,-0.311,0.03501,0.43,1,0
13705,1,5,3,3,0.21,590,-0.612,0.01901,0.61,0,3
14039.9,4,6,1,3,0.56,137.5,-0.95988,0.044065,0.37,0,2
14422.9,2,6,4,2,0.26,194.5,-0.98514,0.05,0.53,0,2
15505.4,4,6,2,4,0.19,503.9,-0.58479,0.031385,0.605,0,2
15886,3,5,1,4,0.89,100,-0.212,0.04101,0.8,1,3
16076,4,6,4,4,0.46,460,-0.941,0.03801,0.48,0,3
16293,3,7,2,3,0.57,233.1,-0.8625,0.014175,0.335,0,2
16337,2,7,4,4,0.21,440,-0.479,0.03101,0.54,1,3
16406,2,5,1,4,0.1,104.9,-1.04539,0.018235,0.52,0,2
16446.5,0,7,3,4,0.35,940.1,-0.3177,0.018545,0.355,1,2
16598,4,5,2,3,0.61,850,-0.645,0.01701,0.4,1,0
17183,1,4,1,1,0.91,740,-0.811,0.02501,0.47,1,3
17424,2,2,2,3,0.67,860,-0.671,0.03501,0.35,1,0
18203.1,0,2,3,4,0.48,659.5,-0.46949,0.028425,0.435,0,2
18446.7,2,5,1,2,0.31,729,-0.23651,0.031695,0.485,0,2
18497.4,0,2,2,3,0.91,133.7,-1.03562,0.022055,0.47,0,2
18982,0,6,1,4,0.61,770,-0.819,0.03401,0.66,1,3
19663,1,3,1,4,0.68,30,-0.723,0.02401,0.45,0,3
20092,3,4,3,2,0.14,810,-0.685,0.03401,0.37,0,3
20093,3,4,3,2,0.14,810,-0.685,0.03401,0.37,0,0
21862,1,4,2,3,0.92,310,-0.446,0.04801,0.83,0,3
22543,0,5,2,4,0.65,150,-0.485,0.04001,0.37,1,0
23256,3,5,1,3,0.79,300,-0.354,0.04301,0.69,0,3
23886,4,3,3,4,0.48,960,-0.079,0.03201,0.51,1,0
24681,0,2,2,4,0.73,150,-0.842,0.04401,0.48,1,3
25326,1,6,3,2,0.86,310,-0.44,0.03901,0.7,0,3
25497,0,5,2,4,0.75,300,-0.781,0.04801,0.58,1,3
26174,1,7,4,4,0.5,540,-0.796,0.04401,0.66,0,3
26332,1,4,1,4,0.57,980,-0.179,0.04601,0.56,1,3
26921,4,3,1,2,0.17,940,-0.829,0.03901,0.39,0,3
28823,1,7,4,1,0.57,400,-0.69,0.01901,0.53,1,3
29437,1,3,2,4,0.63,190,-0.918,0.00701,0.45,1,3
29809,2,4,4,2,0.1,890,-0.591,0.03901,0.46,1,0
30472,0,1,4,2,0.57,840,-0.504,0.04901,0.5,1,0
30492,0,3,2,3,0.92,650,-0.579,0.04401,0.71,1,3
30681,0,2,2,2,0.36,640,-0.58,0.04501,0.66,1,0
31072,0,2,2,3,0.68,930,-0.353,0.03401,0.37,0,3
31073,0,2,2,3,0.68,930,-0.353,0.03401,0.37,0,0
31488,1,2,1,4,0.84,160,-0.977,0.02401,0.42,1,0
31774,2,6,3,2,0.75,750,-0.585,0.02701,0.5,0,3
