SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
14353.3,0,6,1,2,0.97,23.6,-0.47215,0.032095,0.395,0,2
14831,0,3,2,1,0.49,640,-0.856,0.03701,0.29,1,0
14923.8,2,6,1,1,0.23,54,-0.7581,0.021435,0.355,0,2
15187,0,6,1,1,0.44,690,-0.619,0.03001,0.27,0,3
15188,0,6,1,1,0.44,690,-0.619,0.03001,0.27,0,0
15214,0,1,2,2,0.79,760,-0.492,0.04801,0.4,0,3
16077.9,3,5,4,3,0.41,34.9,-0.47215,0.032525,0.525,0,2
16117,0,7,2,4,0.89,160,-0.396,0.04901,0.31,0,3
16118,0,7,2,4,0.89,160,-0.396,0.04901,0.31,0,0
16333,2,5,2,3,0.64,570,-0.345,0.01501,0.27,0,3
16375.9,0,4,1,4,0.43,54.2,-0.672,0.05,0.345,0,2
16475.9,2,3,2,4,0.53,47.4,-0.6636,0.022505,0.345,0,2
16619,3,4,1,2,0.76,810,-0.121,0.03001,0.25,1,0
16652.8,1,7,4,2,0.14,59.9,-1.218,0.027915,0.515,0,2
16737.6,4,6,2,1,0.55,49.5,-0.756,0.030625,0.395,0,2
16874,1,1,3,3,0.48,950,-0.836,0.02701,0.28,1,0
16988.3,2,3,3,2,0.73,321.5,-0.88181,0.018375,0.73,0,2
17054.7,1,5,1,4,0.4,29.1,-0.7896,0.039545,0.615,0,2
17104,2,2,2,1,0.61,560,-0.2006,0.005685,0.215,0,2
17158.9,3,7,4,1,0.28,21.3,-0.9912,0.046565,0.445,0,2
17278.9,2,4,2,3,0.85,54.9,-0.7728,0.034155,0.635,1,2
17330.5,0,4,4,3,0.48,59.5,-0.714,0.027795,0.485,0,2
17411,0,5,3,4,0.64,54.4,-1.0668,0.020185,0.515,0,2
17437.5,1,7,1,3,0.2,58.6,-1.2348,0.044175,0.555,1,2
17554,3,5,2,2,0.45,29.6,-0.8064,0.042985,0.485,1,2
17601.1,2,3,1,4,0.65,28.6,-0.6048,0.05,0.565,1,2
17649.6,2,6,3,3,0.76,56.9,-0.588,0.038975,0.275,1,2
17948.5,0,7,4,3,0.21,30.8,-0.4368,0.033845,0.255,1,2
18029,2,3,3,3,0.72,800,-0.46,0.03901,0.43,0,3
18030,2,3,3,3,0.72,800,-0.46,0.03901,0.43,0,0
18091,4,6,2,3,0.96,27,-0.462,0.028475,0.635,1,2
18153.4,0,3,3,3,0.74,45.3,-0.7224,0.046675,0.575,0,2
18155.3,1,6,2,4,0.31,32.5,-0.8568,0.039305,0.455,1,2
18311.5,1,3,1,4,0.23,59.5,-1.2264,0.031925,0.355,0,2
18338.8,2,5,3,3,0.05,32.4,-1.2516,0.048725,0.435,1,2
18383.4,2,3,3,3,0.6,50.5,-0.8988,0.031865,0.305,1,2
18383.8,4,4,2,1,0.12,38.4,-0.9912,0.020185,0.335,0,2
18553.9,2,2,1,3,0.6,25.6,-0.5292,0.040805,0.495,0,2
18865,5,5,1,4,0.41,60,-0.76,0.04601,0.35,1,0
19027.8,2,4,4,2,0.32,48.9,-0.6972,0.039585,0.385,0,2
19118.3,5,7,4,2,0.17,38.7,-1.0248,0.044615,0.495,0,2
19167.3,3,3,2,1,0.26,54.6,-0.966,0.05,0.405,0,2
20445,3,7,3,1,0.16,570,-0.528,0.01601,0.36,0,3
20854,3,6,4,1,0.81,850,-0.18,0.04201,0.27,0,3
20855,3,6,4,1,0.81,850,-0.18,0.04201,0.27,0,0
21909,6,7,2,1,0.04,990,-0.519,0.01201,0.35,1,3
21940,6,6,3,2,0.09,350,-0.498,0.01201,0.26,0,3
22459,0,2,2,4,0.64,350,-0.828,0.02901,0.55,1,3
23256,4,4,3,3,0.48,420,-0.071,0.03301,0.51,1,3
23747,3,4,3,2,0.91,910,-0.792,0.04401,0.31,1,0
24206,1,7,2,3,0.38,440,-0.209,0.01901,0.25,1,3
24207,1,7,2,3,0.38,440,-0.209,0.01901,0.25,1,0
24239,2,2,2,2,0.36,10,-0.274,0.02401,0.25,0,3
24240,2,2,2,2,0.36,10,-0.274,0.02401,0.25,0,0
26648,5,7,4,3,0.95,40,-0.665,0.02201,0.47,0,3
26725,1,5,3,3,0.89,580,-0.745,0.04501,0.58,1,3
27107,0,3,4,4,0.23,330,-0.595,0.01201,0.59,1,3
28081,3,5,4,3,0.92,860,-0.872,0.03901,0.28,1,0
28709,6,6,3,4,0.09,700,-0.271,0.01401,0.46,0,3
29114,3,5,4,2,0.44,590,-0.801,0.04301,0.44,0,3
30057,1,3,3,4,0.67,830,-0.17,0.00801,0.31,1,3
31035,0,5,1,4,0.66,340,-0.809,0.02401,0.64,1,3
