SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
4280,0,4,1,3,0.92,450,-0.675,0.04401,0.27,0,3
4281,0,4,1,3,0.92,450,-0.675,0.04401,0.27,0,0
6921,2,4,2,4,0.53,870,-0.139,0.03901,0.55,0,3
8290,2,4,2,3,0.36,380,-0.562,0.03701,0.44,0,3
9786,1,6,1,2,0.79,10,-0.553,0.03701,0.55,0,3
10367,5,7,1,2,0.71,960,-0.763,0.04601,0.41,0,3
10368,5,7,1,2,0.71,960,-0.763,0.04601,0.41,0,0
10378,1,2,1,3,0.49,570,-0.608,0.01701,0.34,0,3
12754.2,1,2,2,2,0.91,685.5,-0.29406,0.021365,0.405,0,2
13021,1,6,2,4,0.58,60,-0.719,0.02201,0.53,0,3
13224,2,3,2,2,0.73,900,-0.941,0.04301,0.41,0,3
13874,2,7,3,2,0.85,70,-0.873,0.02601,0.59,0,3
14162,1,3,2,1,0.15,20,-0.267,0.04101,0.34,1,0
14183.7,2,3,2,3,0.72,299.7,-0.84075,0.015915,0.145,0,2
14402.2,1,6,1,4,0.52,281.9,-1.01775,0.011465,0.355,0,2
14763.3,3,3,2,4,0.86,451.9,-0.02806,0.041175,0.37,0,2
14875.5,0,5,2,4,0.13,50.7,-0.93216,0.022035,0.185,0,2
15145,3,5,2,3,0.12,20.7,-0.7768,0.014895,0.245,1,2
15149.4,1,5,4,4,0.8,29.6,-0.62144,0.019405,0.445,0,2
15500.8,2,3,2,3,0.96,59,-0.82535,0.011705,0.295,0,2
15751,0,5,3,4,0.5,490,-0.058,0.02001,0.34,0,3
15990.9,1,6,1,4,0.61,54.3,-0.5826,0.020725,0.265,0,2
16013.6,5,7,4,3,0.65,51.9,-1.2623,0.011455,0.315,0,2
16086,7,6,3,3,0.93,110,-0.91,0.02401,0.52,0,3
16190.4,2,7,1,3,0.17,472.1,-0.02369,0.037145,0.18,0,2
16225,2,3,4,3,0.34,610,-0.868,0.02001,0.55,0,3
16282,0,3,3,2,0.36,417,-0.01932,0.039005,0.26,0,2
16427.7,4,6,4,2,0.13,42.7,-0.98071,0.017325,0.465,0,2
16468.8,2,6,2,3,0.85,305.2,-0.0276,0.032315,0.38,0,2
16499.3,2,7,4,2,0.05,49.7,-1.33998,0.018805,0.365,1,2
16537.7,5,6,2,3,0.4,231.9,-0.76881,0.034855,0.33,1,2
16752.9,3,6,4,3,0.52,26.6,-1.1652,0.022225,0.385,0,2
16934.5,2,7,1,3,0.71,506.3,-0.02016,0.018375,0.39,0,2
17008.5,5,5,4,3,0.26,51.6,-0.89332,0.022405,0.395,0,2
17206,1,6,1,1,0.97,570,-0.542,0.04201,0.34,0,3
