"model","simID","lac","mu","K","gam","laa","totaltime"
"ve",1,2.71856009005569,0.698806725126691,42.3620579834096,0.00350492275995202,1.01429990166798,10
"ve",2,3.72462336998433,0.42578934473861,129.467427392956,0.00281095463465899,0.971372238127515,10
"ve",3,3.83402580581605,0.856359810501756,118.599551641382,0.0022924418726936,0.221718793502077,10
"ve",4,2.88734213169664,0.0531065852284199,117.455889922567,0.00232169386101887,0.93117259000428,10
"ve",5,2.49309772625566,0.873166644590325,135.71845271159,0.00317399503232446,1.24354762723669,10
"ve",6,3.97571828449145,0.294874841513275,54.6013174462132,0.00385555385590997,0.183703605900519,10
"ve",7,2.14010553830303,0.972894303367892,97.6184376026504,0.000781436791550368,0.354927803040482,10
"ve",8,3.33233566395938,0.418769489664747,55.9334199433215,0.00423550395034254,0.346289439825341,10
"ve",9,3.80411569331773,2.24500456451436,107.584745623171,0.000996975380764343,0.317570850835182,10
"ve",10,2.95502129825763,0.299324229287985,127.684433185495,0.000360522766248323,1.04070460726507,10
"ve",11,2.15834227763116,0.534078506017243,104.261187836528,0.00265328897829168,1.13117243384477,10
"ve",12,2.14716387121007,1.31765762822337,101.504872282967,0.000718047482264228,0.39757924026344,10
"ve",13,3.60907253716141,0.507771117444755,135.169560958166,0.0027825218686834,0.716342437430285,10
"ve",14,2.48062392114662,1.37202393075027,148.514955560677,0.00435519309339579,0.873952269670554,10
"ve",15,3.48211995582096,1.14756502391812,138.041359523777,0.0030028490915196,1.04037559451535,10
"ve",16,3.46283888234757,1.71015401689787,49.9640864599496,0.00348051877385005,1.02438616880681,10
"ve",17,3.34879828686826,0.423861432973621,139.06306396937,0.00337945185694843,1.08935862709768,10
"ve",18,3.36806869506836,1.61407900969305,70.2559224469587,0.00210572459218092,0.366291236830875,10
"ve",19,3.1969412160106,2.00086364375909,139.077897944953,0.00284639788116328,1.25668510550167,10
"ve",20,3.5836284304969,1.65119601849853,82.6547365589067,0.00105647298230324,0.352571132476442,10
"ve",21,1.7343918310944,0.0825859895399073,114.031436294317,0.000589105125865899,0.268850318505429,10
"ve",22,1.94881512154825,0.193221674401336,95.2305073523894,0.00383758774874732,1.1104392351117,10
"ve",23,2.22049056156538,0.0207948290844681,66.3722738740034,0.0031360456968192,0.45741291961167,10
"ve",24,3.73862777277827,0.0220510479971766,95.5377121921629,0.000455859638843685,0.73601872602012,10
"ve",25,2.95261140121147,0.0353274283014238,27.893012703862,0.00329060732501093,0.490296859759837,10
"ve",26,2.43563574482687,1.01105379758442,53.4112273342907,0.00468048383065034,0.837875906378031,10
"ve",27,3.29893201193772,1.2206670766965,97.6601041457616,0.00144874354344793,0.0207463607657701,10
"ve",28,3.51832105056383,2.5564155490465,95.7402300648391,0.00132652467028238,0.633434195187874,10
"ve",29,3.67659500753507,0.0960100421810988,55.3752557141706,0.00130255289257038,1.10744527901988,10
"ve",30,3.59301841189153,2.38289114965345,130.088398959488,0.00149889272602741,1.05403393507004,10
"ve",31,3.33196209650487,0.157825811782409,59.954495029524,0.000931171517912299,1.31098822457716,10
"ve",32,3.88185399165377,1.50084620396886,100.61657294631,0.00472984018262941,0.821546751307324,10
"ve",33,2.19998310669325,0.372592183736549,105.31836287817,0.00126113969616126,0.580103134503588,10
"ve",34,3.27126144408248,0.695216346224723,47.3175297584385,0.000903224183060229,0.239780931500718,10
"ve",35,1.73646554187872,0.153028078135871,126.291866486426,0.000191865199012682,0.726605650037527,10
"ve",36,2.92686477559619,0.788085865676007,130.852639940567,0.000469152173702605,1.08465224155225,10
"ve",37,3.43261072831228,1.65148953527997,110.054257230368,0.00146402681001928,0.576715074945241,10
"ve",38,2.81479987083003,0.0874711051066406,101.659446849953,0.00125191936041228,0.695941237499937,10
"ve",39,2.90047979331575,0.773986984058306,99.5640909555368,0.00383064510549884,1.05306616856251,10
"ve",40,3.14669819828123,0.105388186542131,56.2944291811436,0.00418180441977456,0.0555903101339936,10
"ve",41,2.92030313541181,0.895036026934721,40.4607182601467,0.00259780741310678,1.02388051128946,10
