model,simID,Mutation_rate,Niche_evolution,Dispersal_alpha,Dispersal_P,SppPool_size,EnvTimeStep,MaxOptimalElevation,TimeOfPhyloTree
ca,151,0.0139864251888277,0.537091922625699,1.41076076085588e-06,0.0913762833402982,215,17760,7,1
ca,152,0.0139864251888277,0.537091922625699,1.41076076085588e-06,0.0913762833402982,215,17760,7,2
ca,153,0.0139864251888277,0.537091922625699,1.41076076085588e-06,0.0913762833402982,215,17760,7,3
ca,157,0.00253141798943267,0.0241567115275518,0.154440141659163,0.215387789660835,141,1200,6,1
ca,158,0.00253141798943267,0.0241567115275518,0.154440141659163,0.215387789660835,141,1200,6,2
ca,159,0.00253141798943267,0.0241567115275518,0.154440141659163,0.215387789660835,141,1200,6,3
ca,199,0.00575533170349485,0.476568332460539,0.000193712261470925,0.246929310740513,554,5960,9,1
ca,200,0.00575533170349485,0.476568332460539,0.000193712261470925,0.246929310740513,554,5960,9,2
ca,201,0.00575533170349485,0.476568332460539,0.000193712261470925,0.246929310740513,554,5960,9,3
ca,202,0.0358831402570675,0.0448100243145052,1.33530896566742e-05,0.0981010162953112,304,1150,11,1
ca,203,0.0358831402570675,0.0448100243145052,1.33530896566742e-05,0.0981010162953112,304,1150,11,2
ca,204,0.0358831402570675,0.0448100243145052,1.33530896566742e-05,0.0981010162953112,304,1150,11,3
ca,229,0.0548759044760448,0.18687999023152,0.0227449978233599,0.0852413929671218,22,34220,9,1
ca,232,0.00479399959905322,0.0668048113936777,0.0317040539735832,0.223632879674553,447,5430,11,1
ca,233,0.00479399959905322,0.0668048113936777,0.0317040539735832,0.223632879674553,447,5430,11,2
ca,234,0.00479399959905322,0.0668048113936777,0.0317040539735832,0.223632879674553,447,5430,11,3
ca,244,0.00235741044168801,0.384305033178909,0.0204660115355854,0.0299604557560023,427,24030,7,1
ca,245,0.00235741044168801,0.384305033178909,0.0204660115355854,0.0299604557560023,427,24030,7,2
ca,246,0.00235741044168801,0.384305033178909,0.0204660115355854,0.0299604557560023,427,24030,7,3
ca,247,0.0451592413296386,0.0151983803462048,1.10852275571225e-05,0.0100935651364296,719,3240,11,1
ca,248,0.0451592413296386,0.0151983803462048,1.10852275571225e-05,0.0100935651364296,719,3240,11,2
ca,249,0.0451592413296386,0.0151983803462048,1.10852275571225e-05,0.0100935651364296,719,3240,11,3
ca,256,0.0016439448793668,0.210890125904033,0.000175487614329781,0.262370309654848,882,2980,7,1
ca,257,0.0016439448793668,0.210890125904033,0.000175487614329781,0.262370309654848,882,2980,7,2
ca,258,0.0016439448793668,0.210890125904033,0.000175487614329781,0.262370309654848,882,2980,7,3
ca,299,0.0527738713059742,0.26789732050745,3.44182266391326e-06,0.0469389191150565,87,3030,7,2
ca,300,0.0527738713059742,0.26789732050745,3.44182266391326e-06,0.0469389191150565,87,3030,7,3
ca,304,0.00308741176002401,0.0332666995063319,1.26841667160769e-06,0.067414234687513,443,19850,7,1
ca,305,0.00308741176002401,0.0332666995063319,1.26841667160769e-06,0.067414234687513,443,19850,7,2
ca,306,0.00308741176002401,0.0332666995063319,1.26841667160769e-06,0.067414234687513,443,19850,7,3
ca,308,0.00138470765880718,0.350110621635661,1.74783415563382e-06,0.0151971005118874,519,1580,9,2
ca,309,0.00138470765880718,0.350110621635661,1.74783415563382e-06,0.0151971005118874,519,1580,9,3
ca,329,0.00386550950512948,0.132701141923051,0.0458448937972058,0.0389815015990146,91,3540,10,2
ca,334,0.00462156800969455,0.973593553733865,0.0156929802180122,0.0114347961300596,92,47290,8,1
ca,335,0.00462156800969455,0.973593553733865,0.0156929802180122,0.0114347961300596,92,47290,8,2
ca,336,0.00462156800969455,0.973593553733865,0.0156929802180122,0.0114347961300596,92,47290,8,3
ca,337,0.0200327667389821,0.0268436337546008,9.61344655971414e-05,0.0895217030734322,927,4860,10,1
ca,338,0.0200327667389821,0.0268436337546008,9.61344655971414e-05,0.0895217030734322,927,4860,10,2
ca,339,0.0200327667389821,0.0268436337546008,9.61344655971414e-05,0.0895217030734322,927,4860,10,3
ca,343,0.00905921353508655,0.0654933082626786,0.000400422567895678,0.0579802606801317,266,4010,8,1
ca,344,0.00905921353508655,0.0654933082626786,0.000400422567895678,0.0579802606801317,266,4010,8,2
ca,345,0.00905921353508655,0.0654933082626786,0.000400422567895678,0.0579802606801317,266,4010,8,3
ca,355,0.00476591042653837,0.222347839734273,0.0784631200700574,0.0537458643861713,511,1850,7,1
ca,356,0.00476591042653837,0.222347839734273,0.0784631200700574,0.0537458643861713,511,1850,7,2
ca,357,0.00476591042653837,0.222347839734273,0.0784631200700574,0.0537458643861713,511,1850,7,3
ca,358,0.0477398115558036,0.570849055477444,0.181669946473852,0.101337451633956,533,1120,7,1
ca,359,0.0477398115558036,0.570849055477444,0.181669946473852,0.101337451633956,533,1120,7,2
ca,360,0.0477398115558036,0.570849055477444,0.181669946473852,0.101337451633956,533,1120,7,3
ca,364,0.00465103771928392,0.608417791906234,2.35086097515696e-06,0.107739032559072,749,9640,8,1
ca,365,0.00465103771928392,0.608417791906234,2.35086097515696e-06,0.107739032559072,749,9640,8,2
ca,366,0.00465103771928392,0.608417791906234,2.35086097515696e-06,0.107739032559072,749,9640,8,3
ca,367,0.00896814228832611,0.409427032746959,1.49413299765399e-06,0.0475003864936431,75,9550,8,1
ca,368,0.00896814228832611,0.409427032746959,1.49413299765399e-06,0.0475003864936431,75,9550,8,2
ca,369,0.00896814228832611,0.409427032746959,1.49413299765399e-06,0.0475003864936431,75,9550,8,3
ca,379,0.0358625690683253,0.0983438157220284,0.0461362213227753,0.244651266923568,52,4490,8,1
ca,380,0.0358625690683253,0.0983438157220284,0.0461362213227753,0.244651266923568,52,4490,8,2
ca,381,0.0358625690683253,0.0983438157220284,0.0461362213227753,0.244651266923568,52,4490,8,3
ca,382,0.0834134327806652,0.0252095867149492,0.000462637881399318,0.0134054547503375,40,5300,11,1
ca,383,0.0834134327806652,0.0252095867149492,0.000462637881399318,0.0134054547503375,40,5300,11,2
