"","model","simID","dispersal","density","environment","speciationRate","fission","dispersalGlobal","scenario"
"1","fh",1,1.99451952520758,0.310591692570597,0.636831599054858,4.96005525044166,2,FALSE,2
"2","fh",2,4.95785270165652,0.324520057067275,0.0921394417528063,1.8600379411364,3,FALSE,3
"3","fh",3,3.86848760955036,0.870254177832976,0.792304021771997,2.45191553945187,2,FALSE,2
"4","fh",4,0,0.328673779498786,0.9423444038257,1.22234410152305,1,TRUE,1
"5","fh",5,0,0.125701236305758,0.302694621495903,4.20362020109314,3,TRUE,3
"6","fh",6,1.34717101883143,0.356221430702135,0.563008054392412,1.43640748457983,3,FALSE,3
"7","fh",7,2.1867051217705,0.930699186166748,0.00354843097738922,1.78234684339259,2,FALSE,2
"8","fh",8,0,0.875178548740223,0.597468746127561,2.95794000569731,3,TRUE,3
"9","fh",9,4.12259325198829,0.820216695778072,0.136330611305311,3.15070431795903,1,FALSE,1
"10","fh",10,2.08736613020301,0.0217720207292587,0.803776788059622,2.49013930198271,3,FALSE,3
"11","fh",11,0,0.631236867746338,0.104653178481385,4.42030921322294,1,TRUE,1
"12","fh",12,4.79061872325838,0.780916299670935,0.422321367543191,1.02261709212326,2,FALSE,2
"13","fh",13,2.96102341543883,0.717244555940852,0.261993774678558,4.62326354556717,2,FALSE,2
"14","fh",14,4.89183649607003,0.185785830020905,0.789900857256725,0.976844575023279,2,FALSE,2
"15","fh",15,4.38360174652189,0.580674635712057,0.347929610637948,2.33580662868917,1,FALSE,1
"16","fh",16,0,0.413788636680692,0.394019677070901,4.07878092001192,2,TRUE,2
"17","fh",17,1.45595865882933,0.32742266333662,0.839991263113916,0.746275846846402,3,FALSE,3
"18","fh",18,2.25592605117708,0.420827073976398,0.757210219278932,4.07434424874373,3,FALSE,3
"19","fh",19,4.77870692498982,0.365601419704035,0.0773652303032577,2.22219818318263,3,FALSE,3
"20","fh",20,0,0.870706968009472,0.0713470440823585,2.30523013113998,1,TRUE,1
"21","fh",21,0,0.272976407315582,0.270596699556336,2.261382851284,2,TRUE,2
"22","fh",22,4.88804803043604,0.393322388408706,0.182323472341523,0.587820422369987,1,FALSE,1
"23","fh",23,3.92220528703183,0.892266595270485,0.230009140213951,2.69556665723212,2,FALSE,2
"24","fh",24,0,0.823059925576672,0.390509605407715,1.39089278958272,2,TRUE,2
"25","fh",25,3.65384948626161,0.725577592849731,0.923508180771023,4.37899702845607,3,FALSE,3
"26","fh",26,2.02892926707864,0.439830737188458,0.469349069986492,3.08374973409809,2,FALSE,2
"27","fh",27,2.23919387627393,0.456706836121157,0.0679040302056819,1.20806106296368,1,FALSE,1
"28","fh",28,4.36182552948594,0.480434829834849,0.137242946075276,4.27778405044228,2,FALSE,2
"29","fh",29,3.75309252552688,0.127381406724453,0.0610850830562413,0.730774758500047,2,FALSE,2
"30","fh",30,4.09972847346216,0.286083202576265,0.532165037002414,4.19815796939656,2,FALSE,2
"31","fh",31,0,0.625460998388007,0.850726940436289,4.01179678784683,2,TRUE,2
"32","fh",32,0,0.688293327810243,0.620737686054781,3.65631590422709,1,TRUE,1
"33","fh",33,3.4535665102303,0.15707598044537,0.513620178448036,2.69936601573136,1,FALSE,1
"34","fh",34,1.90621834993362,0.8000876493752,0.473671182291582,0.84321907395497,2,FALSE,2
"35","fh",35,1.98463686835021,0.197214724496007,0.280117511749268,3.37629865063354,3,FALSE,3
"36","fh",36,4.51103202719241,0.539300952339545,0.0046770793851465,3.88599477394018,2,FALSE,2
